Date,VideoID,Comment
2024-05-04,0kDbvxpjLZs,9 seconds for an electric car thats especially pathetic
2024-02-16,0kDbvxpjLZs,good honest review thanks like the car im in australia cant wait to test drive one 😅
2024-01-06,0kDbvxpjLZs,this is a genius car this is a car that you dont buy but you lease to your company
2023-10-21,0kDbvxpjLZs,got a twinair mito done 60k in it its great thing that puts me off this is that italians aint the best when it comes to automotive electrics so id be tentative about trusting them to build a electric car thats reliable in the long term especially when its their 1st stab at it stellantis has already has already issued recalls for a bunch of its evs so as cool as this is i dont feel like being a guinea pig just saying
2023-09-16,0kDbvxpjLZs,no spare wheel is a dealbreaker i love that gap between the low centre console and the dashboard thoughit looks like it would be super easy to scoot from one side of the car to the other which is extremely practical
2023-08-17,0kDbvxpjLZs,i love this car
2023-06-01,0kDbvxpjLZs,i absolutely hate those big entertainment screens in cars they are not necessary
2023-04-28,0kDbvxpjLZs,why are you driving in the middle of the road
2023-04-06,0kDbvxpjLZs,712 strangely aroused at this pointanywayconcentratetax returnsmother teresathats better back to the review
2022-09-03,0kDbvxpjLZs,why not compare this to the 500e that was produced between 2013 to 2019
2022-09-03,0kDbvxpjLZs,i have not got apple car play in my 500 icon
2022-09-03,0kDbvxpjLZs,it will not do 199 miles i own one and have had it for 16 months i have driven it like a baby carrage and the most i can get is 160 miles
2022-08-28,0kDbvxpjLZs,imagine if someone could make a cheap and simple ev that only costs 2000 oh wait that is exactly what some factories are making because the whole point of ev is simplicity and they are therefore cheap but buying it here while it was possible in the past the cost was inflated to nearly 10k and the law now prevents anything being sold unless it means pricing out most of population
2022-07-18,0kDbvxpjLZs,what a great reviewer love her wit humour
2022-07-09,0kDbvxpjLZs,the butten to open the door is it electric can you open it with no power
2022-07-04,0kDbvxpjLZs,nice car but not with an acre of cheap piano black plastic to stare at makes my skin crawl nope
2022-06-23,0kDbvxpjLZs,no thanks keep the electric version only takes away from the rear hatch nonspace and yes i own a 500 with no rear seating space i use the area for extra cargo room no way is electricity viable here in the usa not enough charging stations and retrofitting my home would be an insanely cost issue thanks for the fun video
2022-06-21,0kDbvxpjLZs,very best car i love
2022-06-20,0kDbvxpjLZs,plz fiat launch this car in india
2022-06-18,0kDbvxpjLZs,just passing by locking for a review what is this theater are you talking to a bunch of 5 year olds i get faulty towers vibes but without the irony fire the script maker please
2022-06-06,0kDbvxpjLZs,i love the fiat 31 but its not available in the us 🙁
2022-05-31,0kDbvxpjLZs,the rear 3red door is not availabe in the uk for safety reasons as you british people love to drive on the wrong side of the road the passengers would leave the car on the traffic side and you have the socalled leftfootproblem where to rest your unemployed left foot sorry folks same reason 🙂 and for the boot you are talking nonsense there it is enough space for four small 3 midsize two normal oe 1 big suitcase three small suittcasres 2 of them lying flat and piled the third upright on the side sorry again in a well pepared check yo would use some different sized suitcases to combine cable problem you can buy a frunk from an austrien firm for 210 euros or you leave the dc cable at home because you will hardly eveer need it the charging stations work with their own cables so you just plug it in the granny cable is for home charging on a wallsocket schuko in german
2022-05-31,0kDbvxpjLZs,too bad the charge port is on the bad side to access teslas superchargers it would have been nice automakers to chose a side not repeating the issue ice cars have
2022-05-30,0kDbvxpjLZs,i live in north america and their not coming here what a shame because ive got a 2013 and i love it and the electric one looks great
2022-04-25,0kDbvxpjLZs,i love the 500ev i would get the passion i would get the entry level action but it doesnt have a radio dab system
2022-04-23,0kDbvxpjLZs,dogging round the surrey hills thinking of buying my mrs one as she is not allowed to drive my aston
2022-04-18,0kDbvxpjLZs,i also reviewed the fiat 500e in my channel i must say its very promising strong identity and style but it suffers the same problem as most evs the price and not enough options i also feel like a lot was invested into style than interior practicality
2022-04-16,0kDbvxpjLZs,regarding the creepy off sound if you play the on and the off sounds one after the other you will listen in a simplified version of course the first notes of the soundtrack of amarcord a 1973 movie by the famous italian director federico fellini written by the most talented italian composer nino rota well worth listening i wish the car played a little bit more of it
2022-04-01,0kDbvxpjLZs,my shopping cart is bigger
2022-03-31,0kDbvxpjLZs,why would you say you own a fiat 500 30 times in a video its not a good joke its not even remotelly fun maybe once maybe twice 30 times is just eye rolling
2022-03-11,0kDbvxpjLZs,i own 1 i love it several people walked up to me to tell so cute and personality in abundance good for long distances as well 433 km and only 1 charge in 24 mins on a fast charger lets say a coffee break
2022-03-03,0kDbvxpjLZs,despite the occasionally annoying presentation style its a reasonable summary reasonable but not totally accurate as a very happy 500e owner i can offer the following range im only getting an average of 36 mileskwh so 144 miles and this is always using range mode for max regen and driving normally on a mix of road types driving is fun and the car is both nippy and confident my other car is a bmw i3 and the 500e actually tracks better interior i wasam pleasantly impressed with the build quality and most of the materials quality theres one of one exceptions but allinall its very good again my benchmark is a bmw practicality well its a fiat 500 for goodness sake and nobody should be expecting a tardis having said that its more than capable of taking our large weekly shop or carryon luggage for two again people its a city car specs i have the la prima model so topoftherange the specs are pretty amazing with very driver assistance gizmo you could wish for honestly the only thing missing is folding door mirrors but i guess the car is regarded as narrow enough for this to be a moot point i would definitely recommend people considering a city car ev to take one for test drive
2022-04-18,0kDbvxpjLZs,in my channel i reviewed the fiat 500e as well i can confirm you have a good point your points are valid i agree with you almost everywhere but there is one major flaw the price for that price we all have expectations i personally wouldve expected a tardislike experience if i were to pay beyond 30k euros for an asegment car for 30k one could get a csegment like a golf or astra car which is similar to the 500e in terms of city friendliness but more easy to live with
2022-06-14,0kDbvxpjLZs,autochampwandelen well price or more accurately value is all in the mind of the buyer for me i believe the 500e delivers much for the price i paid and the sales numbers reflect that this is a commonenough view the level of tech the impressive build quality and the sense of style all combine to deliver a valuable package a car purchase any car purchase is a discretionary spend so value is totally subjective
2022-06-14,0kDbvxpjLZs,autochampwandelen one more thing on price you mentioned golf and astra neither a pure ev platforms and so the comparison is moot additionally many of the legacy manufacturers when offering an ev version of their compromise vehicle architectures will spec and price the ev at the highest end of the range ice will be available with an entrylevel specprice but not the ev option fiat with the 500e do at least offer all termspecprice levels making the ev accessible to a broader customer base and that has to be a good thing
2022-03-02,0kDbvxpjLZs,its electric disqusting oh no its even automatic you people are sick dafuk is wrong with you
2022-03-30,0kDbvxpjLZs,love the fact you needed to mention its an automatic after mentioning its electric likeduuuurrrrr
2022-02-26,0kDbvxpjLZs,i loved my abarth would love to see them do a high performance ev version then bring it back to the us
2022-02-25,0kDbvxpjLZs,fabulous review and the reviewer has buckets of charisma really entertaining
2022-02-24,0kDbvxpjLZs,i have this car and i absolutely love it you dont notice the chime after a while an amazing car to drive definitely worth looking into one
2022-08-08,0kDbvxpjLZs,im thinking of getting one of these what sort of range do you actually get from it motorway and city thanks
2022-02-22,0kDbvxpjLZs,a charismatic car and a charismatic reviewer great review thanks
2022-02-21,0kDbvxpjLZs,the basic version highway range is under 100 miles this version is more expensive than the abarth 1 abarth for me please
2022-02-21,0kDbvxpjLZs,way way over priced fiat originally brought out the 500 and designed it for people with average incomes now we are trying to get everyone in to evs fiat instead of building an ev for the average person brings out something for wealthier people 25k plus is way too pricey nah
2022-02-20,0kDbvxpjLZs,no mention of the very reduced range in the winter due to the effect of cold on battery and need to use the climate control but it is a lovely car to drive
2022-02-18,0kDbvxpjLZs,too expensive for such a small car with such a short battery range
2022-02-18,0kDbvxpjLZs,the car looks nice but i dont think a small car needs all the gadgets connectivity and infotainment they should keep them simple and efficient
2022-02-17,0kDbvxpjLZs,i bought a fiat 500e passion in rose gold two months ago and it is a belter of a car with bags of power great build quality and a brilliant driving experience particularly in onepedal drive mode it replaced a renault twingo gt which had identical dimensions so the boot and cabin are large enough for me and it also fits into my garage thanks to the piano keys that operate the hvac system the tablet remains off as i have no use for it and prefer to enjoy the pleasing sound of the electric motor
2022-04-24,0kDbvxpjLZs,hi brian how do you find the battery life to mileage and the charging time
2022-04-24,0kDbvxpjLZs,fc4660 hi f c over the winter i averaged about 38 miles per kwh in mixture of town and 5060 mph main road driving all with a light foot this has recently risen to 425 miles per kwh during early spring so range is now about 160 miles i have read that the fiat can be charged at 85 kw on public fast chargers but i have only ever used my home wallbox which is set very low to match my solar pv systems output so it is currently costing me very little to run hope this is of some help
2022-02-17,0kDbvxpjLZs,just not a fan of the fiat 500
2022-02-17,0kDbvxpjLZs,i drive a prima convertible in lhd formatlove it for what it is but there are some down pointsrhd conversion has not been done well it is a 22 range is great for city and day trips but it is not practical for any long range trips eg touring holidays mine is in a two car family and fits well but would i have got it as my only car probably not
2022-02-17,0kDbvxpjLZs,ive always liked the 500 and this is a good review but it captures in a nutshell the huge problem we have with evs right now price and range the most basic 500e is nearly 10k more than the entry petrol version thats 25k for a very small basic low range car and that climbs to 30k for a higher spec model thirty grand this is why evs are mostly being bought by the well off at the moment people who will always have a second ice car for longer journeys where theyre still way more practical were still 5 years or more away from sensibly priced evs with better battery tech
2022-02-17,0kDbvxpjLZs,buying on a contract and saving the difference between the petrol and ev version on fuel bills makes it cost effective
2022-02-17,0kDbvxpjLZs,jonwetherell5214 possibly with a very small car but this is the argument everyone makes buy on contract at this price though even with a moderate deposit youre looking at 3400 per month for a fiat 500e which is crazy kia ev6 midspec on pcp deal is around 7800pm this is just totally impractical for most average buyers especially with many now struggling just to keep the heating on and put food on the table with electicity prices soaring its also going to get more expensive to charge evs too
2022-02-23,0kDbvxpjLZs,jonwetherell5214 you having a laugh renting cars
2022-04-18,0kDbvxpjLZs,i also reviewed the fiat 500e in my channel and i can definitely confirm price and lack of options and practicality is an issue for that price you could get a csegment car that is more spacious and practical to live with and still as city friendly as the fiat 500e
2022-02-17,0kDbvxpjLZs,boot size is fine for most people tbh
2022-02-17,0kDbvxpjLZs,i still love my 2015 500c makes me happy every time i drive it
2022-02-16,0kDbvxpjLZs,nice car irritating presenter
2022-02-16,0kDbvxpjLZs,i love the 500 a small city car that is happy being a small city car great review much nicer interior quality and the specs are so good for what it is going to be used for although u are paying more now the 500 makes a great electric city car for the millions of people without loads of kids and large shopping trips etc because we do exist we need more manufacturers thinking like this
2022-02-16,0kDbvxpjLZs,nicola is again superbly delivering car reviews
