Date,ID,Text
2024-07-16,-GYjfh1gpkM,shifter is cheap looking and over sized so pus it turns the wrong way
2024-07-03,-GYjfh1gpkM,i think youll find its pronounced hyundai
2024-06-23,-GYjfh1gpkM,lol all these bts references were fun hahaha
2024-06-22,-GYjfh1gpkM,i work at hyundai and im not an ev fan at all but we use a kona electric as our service shuttle and holy hell theyre so fun to drive so smooth and comfortable drive too and so much torque
2024-06-01,-GYjfh1gpkM,is rear seat can contains 3 adults comfortably
2024-05-06,-GYjfh1gpkM,what happened to their design team looks like the same people who designed the ssangyon rodius bad bad bad people
2024-03-22,-GYjfh1gpkM,i dont get the price of this car top trim is 45k tesla 3 rwd is 39k with bigger battery more efficient matrix led headlights charges way faster has a panoramic sunroof bigger trunk its own charging network and a router ev planner with ev charging stops automatically calculated
2024-03-08,-GYjfh1gpkM,does anyone ordered the new long range kona recently is the  218hp electric motor with 654 kwh battery still available i ordered a new kona in romania and only the 204hp and 648kwh configuration is available
2024-02-11,-GYjfh1gpkM,its unfortunate that the exterior is so ugly as the drivetrain and interior are substantially improved
2024-02-10,-GYjfh1gpkM,cool review also  why does the reviewer look like jennifer aniston from the 90s
2024-02-08,-GYjfh1gpkM,does it support bi directional charging
2024-02-07,-GYjfh1gpkM,nothing said about the quality of the mechanicals the subframe the gearbox the electric motor the paint quality
2024-02-04,-GYjfh1gpkM,i went to view a kona yesterday and i really like it as a kia owner i was tempted by the niro ev but i like the kona much better both inside and out i am not currently an ev driver and still wondering if this is the way forward
2024-01-20,-GYjfh1gpkM,so you didnt actually answer the question in your title thats frustrating is it better than the niro ev or not
2024-01-18,-GYjfh1gpkM,hyundai havent made the traction control better  instead theyve just dropped torque from 395nm to only 255nm
2024-01-18,-GYjfh1gpkM,"i have a 2021 kona electric ultimate to buy it now its almost 4k more and the battery is no better and even then you need to add 3k worth of option packs to get a top spec
hyundais avarice means i wont be buying another kona its a shame as i love my kona and have gotten over 300 miles repeatedly"
2024-01-14,-GYjfh1gpkM,rental giants hertz and sixt have both dumped teslas  indeed all evs   citing cost of repairs being high enough that it significantly impacted earnings
2024-01-14,-GYjfh1gpkM,how come you did not talk about the 100 pounds of torque this new model lost 
2023-12-26,-GYjfh1gpkM,yes the heat pump costs 900 on the niro ev but the price of the top spec niro is about 800 less than the top spec kona so its not so much of a difference
2023-12-23,-GYjfh1gpkM,complaining that the steering wheel blocks the display but cant you just adjust the steering wheels tilt to be able to see the screen better
2024-02-11,-GYjfh1gpkM,yes but the visibility depends on driver height and many people may have no issues
2023-12-08,-GYjfh1gpkM,the interior design looks super nice and clean which is appealing and i think it spent money where you want it spent i dont care if that part of the door panel is cheap im resting my elbow on it  the screen set up looks great clear and easy to use on the move i am amazed some other model systems are even legal eg volvo xc30 where everything is done through a massive touch screen im not allowed to hold my mobile but its perfectly fine for me to play around on that while flying down the motorway for me it would have to be the longer range version but that pushes it into that high tax bracket an additional 390 pa for 5 years is crazy even for evs ive driven a petrol nline and really enjoyed it even that was quiet so i expect to hear my own heart beat it this one  i think how hyundai are designing their line up is very clever perfectly positioned to cover ice demand but establishing themselves as a clear midrange high quality ev manufacture
