Date,ID,Text
2024-05-04,-f_LV-6PuFA,40k in australia right now
2024-06-12,-f_LV-6PuFA,bought one last week same colour and top gt spec
2024-02-27,-f_LV-6PuFA,"do not buy this car i own one and intend to do a review after having one for 24 months here are my thoughts  i own the gt one so take this 

pros

 looks  they look great inside and out its the bestlooking peugeot theyve ever designed 
 extras as standard again im speaking about the gt model but you get almost all the extras as standard including heated seats auto foldin wing mirrors sunroof cruise control laneassisted cruise control  drives itself on motorway collision avoidance and detection  led lights with auto high beam proximity key unlock and smartphone charger usb ports reversing and parking assist camera 
 boot space decent boot space for the size of car
drive its a really nice car to drive thanks to comfort 
charging  ccs charging which is great when on longer trips 

cons  and there are plenty 

 range the range is pathetic really mine is the 2021 model and on full charge you are looking at 200 miles range on the clock  in reality you get no where near that probably 150 miles at a push in winter uk you might be as low as 100 miles on full charge for context my commute is 34 miles there and back 3 days a week mostly motorway at under 70 mph and i do about  50 miles social driving so roughly 150  200 miles a week on i have to charge at least twice a week i dont speed and am pretty conservative  winter with frost you are looking at every other day you will not get 150 miles on a round trip if its a mixture of motorway and urban  also driving eco does practically nothing in terms of range improvements 

 price you could get a tesla for the same price doesnt look as nice but for performance and everything else tesla wins its probably overpriced for what it is 

 software  the peugeot app is the single worst app i have ever used i could write a full comment on that it doesnt connect it logs you out fully you have to enter the pin and then log back in sometimes you have to uninstall the app because it just wont work if you want to precondition the battery on a cold morning you better set aside 5 minutes of waiting its unbelievably slow to connect to your car and then performing any operation is even slower 

and get this  you should precondition your battery when its cold it improves the range but you cannot precondition the battery if its less than 50 i think this is the only car that does this nor can you plug in your car and set it to precondtion overnight it just doesnt work 

service intervals are set in km although the odometer is in miles so the first time i took mine in for service was told it wasnt needed  i have seemingly random service intervals now 

you cant charge to a certain like other evs as other suppliers do not recommend 100 charge 

you have to plug in a usb to update car software even though it can connect to wifi and services 

sometimes you get prompts in french particularly errors which is useful 

trip information updates randomly often not at all 

it doesnt update the service history even though the log is now digital

your phone will pull up high battery use for the app as its not optimised 

you can only register one phone per car even if you have more than one driver 

there have been no major updates the whole time i owned the car despite the fact everyone that uses it hates it 

interior  the touch screen is pretty unresponsive and although you get a larger screen theres a pointless alwaysthere aircon widget on either side of the screen so you lose about 20 of the screen which is small as it is  the wireless phone charger is not angled properly as such you may think your phone is charging but if its not on the sweet spot it wont be 

build quality just coming up to the 3rd service interval and have been had several faults appear in the past week resulting in around 1k of charges luckily mine is a lease and under warranty repairs needed include new ball joints new brake pads despite using the engine breaking 80 of the time an electrical error not sure what it was just told by dash to take to dealer heated seats stopped working 

the green accent paintwork on the badge for the ev cars which they have since discontinued on  has flaked off 

so in summary looks great drives great range is poor its overpriced and has seemingly been overlooked for the evonly parts 

get something else for the price and forego looks"
2024-02-23,-f_LV-6PuFA,only 136ps
2024-01-10,-f_LV-6PuFA,does it show the charge  and remaining battery capacity as standard on the displays yet
2024-06-12,-f_LV-6PuFA,yh
2023-12-31,-f_LV-6PuFA,would still rather have my niro ev level 4  it has all heat and ventilated seats and steering wheel and both electric front seats and far more space in the back 
2023-12-13,-f_LV-6PuFA,what about 10k off list pricewhich is what they are available at now must be selling well
2023-10-06,-f_LV-6PuFA,watching the review i wouldt consider this vehicle at the priceor at 5k less than the current price tag
2023-10-02,-f_LV-6PuFA,i dont know who would buy that for 40k
2023-10-01,-f_LV-6PuFA,the 2008 had the worst suspension i have ever felt on a modern car when i test drove it 2 years ago i hope the ev version improves it because it is otherwise a nice looking car
2023-10-14,-f_LV-6PuFA,what did you find so bad
2023-09-30,-f_LV-6PuFA,peugeot make nice looking cars but theyre expensive and residuals are shocking so no sane person would buy one
2023-09-29,-f_LV-6PuFA,nobody has yet explained the point of ev as environmentally it makes no sense am talking the whole process of everything to make an ev from digging to get at raw materials too what powers the charges etc etc etc  just wish all you car shows asks serious question or are you afraid that you be cancelled by the governmentmanufactures seems to me the only honest personcompany to this question is toyota yes they make ev but they still ask the question
2023-10-21,-f_LV-6PuFA,yupno raw materials dug out of the ground for oil drilling is there
2023-09-29,-f_LV-6PuFA,37k for that junk
2023-09-28,-f_LV-6PuFA,"doesnt have full one pedal driving no frunk far slower steel wheels and fairly low range this doesnt really beat the niro ev or kona ev in any way except looks 
even the boot is far smaller than both of those cars"
2023-09-28,-f_LV-6PuFA,ugly like the favourite child
2023-09-28,-f_LV-6PuFA,fugly
2023-09-27,-f_LV-6PuFA,do e3008
2023-09-27,-f_LV-6PuFA,whoa hideous and electric 
2023-09-27,-f_LV-6PuFA,overpriced and youll be hammered on residuals
2023-09-27,-f_LV-6PuFA,well i drive an e208 so basically have a smaller brother of this its a really nice car but as residuals are showing now its way overpriced and this refresh doesnt change that one bit given youll be able to get a one year old for 23k in a years time im amazed anyone would buy this privately maybe they give huge discounts and low rate finance now
2023-09-28,-f_LV-6PuFA,its mostly being leased around here
2023-09-27,-f_LV-6PuFA,its such a major no go for me in cars that automatic gear sticks are turning into something so absolutely ridiculous as a lille switch besides the car looks great but sadly the car will likely be way overpriced
2023-09-27,-f_LV-6PuFA,hmmm  push for the kia niro ev  better range and much faster
2023-09-28,-f_LV-6PuFA,yep also has full one pedal driving a frunk and far more luxuries like ventilated seats on the top spec
2023-09-29,-f_LV-6PuFA,kiahyundais also have so much more recalls
2023-10-11,-f_LV-6PuFA,"the problem with the kia eniro is the slower charging speed 
my ev road trip planner calculates faster trip with an faster charging citroën ec4 with shorter range than a slower charging with longrange kia eniro for a 1000 mile trip"
2023-11-19,-f_LV-6PuFA,tomtom9879 i agree that the slower charging on the niro is disappointing  i dont even get the advertised 77kw  ive never had more than 53kw fortunately i dont do many journeys more than 240 miles and charge at home
2023-09-27,-f_LV-6PuFA,range price you gotta be kidding me no thanks
2023-09-27,-f_LV-6PuFA,as always with psa the cars are designed to be electric or gas or hybrid probably because stellantis cio is always lobbying to postpone the switch to evs to maximise short term profits and his huge incomes so this car is a compromise and it cannot be the best and sadly this strategy does not even make this car cheaper so it is for people who are really in love with the brand
2023-09-27,-f_LV-6PuFA,why are people still mentioning psa they combined with stellantis years ago friend and peugeot is one of many of the stellantis brands who are leading the way in the switch to fully ev
2023-10-03,-f_LV-6PuFA,lhawkesdrumsthe didnt combine they became stellantis the name didnt exist before
2023-09-27,-f_LV-6PuFA,too expensive by about 10k   steel wheels    why a massive grill for an electric car  hump between the rear seats  why just why  oh i know why because  peugeot seem set on just using ice vehicles and then slapping an electric motor in and calling it good rather than actually designing  electric vehicles from scratch like the car manufacturers in china are doing
2023-09-27,-f_LV-6PuFA,looks very smart  as peugeot products do these days no interest in the ev version petrol version for me which is what ive ordered
2023-09-27,-f_LV-6PuFA,can i ask why you would order these new considering their price falls second hand after a year
2023-09-27,-f_LV-6PuFA,for me the biggest improvement is the fact it has the letter e in front of it im not a fan of pointless front grills on evs though
2023-09-27,-f_LV-6PuFA,just another stellantis compliance clone
2023-09-27,-f_LV-6PuFA,why on earth does a front wheel drive electric car still have the remnants of a transmission tunnel cluttering up the rear floor  this car is an overpriced hangover of the past come on stellantis youre nearly there with the astra lets have an all electric reasonably priced giulietta replacement a smallish light car that looks good and is fun to drive in fact everything an alfa should be and not a very expensive big suv like the tonale or the stelvio
2023-09-27,-f_LV-6PuFA,because stellantis cio plans to sell new ice cars for as long as possible even after 2035 in europe with the help of more and more lobbying so no plateforme dedicated for evs at peugeot
2023-09-29,-f_LV-6PuFA,or because this platform have been used for 4 yrs and petrol models still sell at a much higher percentage buy the time of ice ban the next 2008 will be out on dedicated e architecture
2023-09-29,-f_LV-6PuFA,jackweednm1vq sure but it is the same minimum investment in evs it could be a good strategy if the result was lower costs but no this ev is not cheaper at the end of the day sells will be very low for this car while it is supposed to be new to mach the concurrence in 2023 you need dedicated ev plateformes
2023-09-29,-f_LV-6PuFA,didierpuzenat7280 but it doesnt seem worthwhile for manufacturers given the better selling dedicated evs id3 cupra born and fiat 500e have all had their production paused due to demand and were talking top 10 best selling evs i think the e2008 was the best selling electric bsuv for a period in europe it makes sense we are still early on in ev adoption as a percentage of total passenger vehicle sales it makes sense that a car past the point of facelift stage is not on dedicated ev architecture the next gen will be and before any bsuvs from a number of its competitors the epuma is yet to launch which wont be dedicated arochirecture and the e2008 is more than halfway through its lifecycle
2023-09-29,-f_LV-6PuFA,jackweednm1vq maybe there is indeed a lack of demand but not for evs since tesla sells are great so the goal for automakers should be to close the gap with tesla and soon chinese evs and it will be difficult when you have to make compromise because your plateforme must be compatible with an internal combustion engine for example it will be difficult to have a bigger battery in the e2008 or to switch to lfp however i am not saying that this e2008 is doomed just that is will mostly appeal to fans of the brand or people not well informed of what other brands have to sell eg because they are used to go to a peugeot dealer and of course for a few buyers with specific needs this e2008 will be the best car
2023-09-29,-f_LV-6PuFA,didierpuzenat7280 yes agreed all my explanation wasis is that the e2008 and been pretty well positioned for the last 4yrs and will remain competitive as this review explain for at least another two yrs then time for the new dedicated platform thats why i think its been a good strategy tesla also had the desirability of being totally electric not being a legacy for the early adopters who are into tech etc the legacy are better aligned for the remainder than will adopt more slowly secondly i still personally think theres space for a direct tesla competitor if were going to make more ethics and considered purchases tesla has draw backs elon also undermines the brand and his customer base but thats a separate issue
2023-09-27,-f_LV-6PuFA, is not called a hashtag
2023-09-27,-f_LV-6PuFA,needs priced reduced by at least 6k if not more
2023-09-27,-f_LV-6PuFA,the motoring industry has just become about how good the graphics are on screens 
2023-09-27,-f_LV-6PuFA,hey guys why did you disable comments on your sponsored best home charger video
2023-09-27,-f_LV-6PuFA,it seems really poor to charge for the heated elements of the car when the competition include them even in the base versions it strikes me that peugeot are still too far behind the koreans and the chinese this is an old technology car and nothing can disguise that its still doesnt have enough room for a disabled driver to fit a reasonable size wheelchair in the back or in the boot
2024-01-07,-f_LV-6PuFA,if china attacks taiwan as xi promised there will be no spareparts for chinese cars
2023-09-27,-f_LV-6PuFA,what was the rattling noise i could hear on the interior driving shots
2024-01-07,-f_LV-6PuFA,from camera stand i have one and it doesnt rattle if you dont do your own tunings
2023-09-27,-f_LV-6PuFA,nice car but pricey for what is basically a jacked up e208 and the wltp range is not as good as the kona niro ev and renault megane etech which are around the same price to compete with those it needs to be cheaper i personally would wait for the price to come down or better still get it second hand in about 2 years time
2023-09-27,-f_LV-6PuFA,ill continue waiting for the tsunami of chinese evs to arrive in a few years to bring ev prices down to approx 20000no way im going to pay 36000 for a car
2023-09-27,-f_LV-6PuFA,i wouldnt buy a chinese ev for patriotic reasons i prefer stuff made in europe or usa i agree with you these current evs are too expensive while not giving you much hoever finally there is one that might change this next gen 3008 will start selling in the next few months supposedly it will be the car with the longest range in the world when it comes to under 50 000 cars
2024-01-07,-f_LV-6PuFA,we are in war with china china is the only big supporter of russia in a war with ukraine do not buy any chinese brands whatsoever also no tiktok and if china attacks taiwan as xi promised there will be no spareparts for chinese cars
2023-09-27,-f_LV-6PuFA,not as good as the hyundai kona
2023-09-27,-f_LV-6PuFA,if it was priced right for what it does ie half price then why not
2023-09-27,-f_LV-6PuFA,how dumb can you be
2023-09-27,-f_LV-6PuFA,what a mess
2023-09-27,-f_LV-6PuFA,steel wheels for over 35 grand 
2023-09-27,-f_LV-6PuFA,garbage
2023-09-27,-f_LV-6PuFA,price price price
2023-09-27,-f_LV-6PuFA,omg it looks amazing like before full of allure and an unrivalled driving feel
2023-09-27,-f_LV-6PuFA,the range is still small for the price of vehicle and no increased charging speed is not really much of an upgrade is it
