Date,Text,Car
2024-05-23,you spent more time praising the car like you were paid to than telling us the honesty depth details of the car itself,Jeep Avenger
2024-05-18,no one talks about how you move the seat whether its manual or electrical the stereo and whether you can rewind songs still a great video but no one goes really in depth,Jeep Avenger
2024-07-02,its manualand another review states the stereo is just adequate nothing special,Jeep Avenger
2024-03-27,where is the rails for bars ,Jeep Avenger
2024-03-18,im thinking about buying petrol version of jeep avenger not full electric cuz its much cheaper and affordable for me but have the same features as electric one dunno what others things  atm electric is 40k euros in my country and petrol one is around 2324k,Jeep Avenger
2024-03-20,i bought petrol,Jeep Avenger
2024-05-23,go for petrol  youll be missing nothing in terms of car comparison apart from cable charging which is pretty much a headache when you are a busy person,Jeep Avenger
2024-03-09,its a mokka stop talking crap,Jeep Avenger
2023-12-01,great design  utterly ridiculous pricing vehicle manufacturers continue to take the michael with over inflated prices,Jeep Avenger
2023-11-06,to me it looks like a vw tcross shape with a dacia duster front headlights not that impressive,Jeep Avenger
2023-10-28,good review good explanations but price is too high the touchscreen looks like someone bolted a tv to the dash funny windscreen decals dont sell the car,Jeep Avenger
2023-10-23,it needs to be at least 350 miles and a little bit bigger for rear passengers,Jeep Avenger
2023-10-06,picking ours up in the next couple of weeks its a great car full of personality,Jeep Avenger
2024-02-09,hey there please give me your feedback on the car i am interested in it,Jeep Avenger
2024-07-05,how is the car,Jeep Avenger
2024-07-05,msjranger no problems with it so far great little car range is around 220 summer 160170 winter motorway driving at 70mph youll get 170miles,Jeep Avenger
2024-07-05,kalelgreece no problems with it so far great little car range is around 220 summer 160170 winter motorway driving at 70mph youll get 170miles,Jeep Avenger
2024-07-06,gilestaylor8639 thank you,Jeep Avenger
2023-09-21,what a great looking car exciting times ahead for jeep no doubt i really like the motors that stellantis seem to be designing peugeot for one have come on leaps and bounds ,Jeep Avenger
2024-02-29,the sentiment is completely the opposite in north america stellantis is doing a lot of things that people are not happy with,Jeep Avenger
2023-09-21,"for a honest review watch matt watsons carwow review  oh wait you cant cause it was mysteriously taken down a mere few hours after it went live i saw it though it wasnt glowing 
tell me is this press review car doing the rounds the same as carwows a few weeks back
 the one that broke down 4 times with brakeelectrical issues each time matt had to sit outside the car for 520 minutes by the roadside till the car reset itself before he could drive it again
having bought a brand new picasso car of the year winner same as this in 2015 and having nothing but issues with it for 7 years straight  usually electricalengine with no customer support whatsoever i wouldnt trust any stellantis junk cars
you have been warned",Jeep Avenger
2023-09-22,thanks for summarising the review for us that didnt get a chance to watch it,Jeep Avenger
2023-09-22,mercslrfan it is reviewed on their website  but no mention of the video review and even not a mention under the reliability section they even give it 810 ,Jeep Avenger
2023-09-22,danielsimpson8371 thats hella fishy,Jeep Avenger
