Date,ID,Text
2024-03-08,AXGNb76QgH0,25000 is a fair price
2024-03-04,AXGNb76QgH0,it looks solid and i know its a great driving machine
2024-02-24,AXGNb76QgH0,really love the video and review of new fiat 600e and after weekend ive spend with this beautifull and fun to drive car i have to say that i really love it
2024-02-16,AXGNb76QgH0,imagine if fiat invested in perfecting the 500 platform to increase performance reliability and build quality vs redesigning and releasing a brand new model relying on things like design is contemporary and up to tastes which may change on you its hard to argue that performance and reliability will not be towards the top of buyers wish list
2024-02-13,AXGNb76QgH0,my wife has a 500 c and all we love it nobody knows why because as a car is not the best but instead of our bigger car we use it also for longer summer trips this 600 e is the perfect rletive with our small fifi so i am thinking abut it
2024-02-13,AXGNb76QgH0,why are most evs suvs
2024-01-28,AXGNb76QgH0,a french car😎
2023-12-18,AXGNb76QgH0,the 600e has two things i wish fiat will upgrade the 500e with first a better shock absorber second a modern steering wheel without all those black piano surface
2023-12-14,AXGNb76QgH0,why she acting like this is so new its literally a fiat 500x but electric ffs
2024-03-06,AXGNb76QgH0,it is based on new platform new interior new body nothing to do with 500x
2023-11-16,AXGNb76QgH0,oh dear fiat played a blinder with its cute 500 and even after 17 years it remains one of their best sellers but someone needs to tell them that theyve overdone the cuteness with this one those headlights look so much like eyes it has to be a joke why does everything have to be feminised these days it might appeal to hairdressers and aerobic instructors but i think id feel a bit of a dck driving around in one of these
2023-11-13,AXGNb76QgH0,why would you buy that a hyundai kona ev limited with way more bells and whistles more power more range faster charging more space similar size and cost less
2023-11-08,AXGNb76QgH0,i dont understand why anyone looking in this market segment would not buy the volvo ex30 it offers so much more than everything else at a similar price or even quite a lot higher price as long as people can cope without a separate drivers display
2023-10-30,AXGNb76QgH0,con il piano a induzione carbonara perfetta
2023-10-30,AXGNb76QgH0,i am sorry but i dont know if it is me being spoiled entitled stingy or something else but 40 thousand euros for a subcompact car it is not fabulous in any way you still have to pay for the charging i mean i would just go and buy a well equipped mercedes a class saloon which is pretty much a bc segment car and looks and feels great
