Date,Source,Text
2023-07-21,SpeakEV,hi there we will receive our new fiat 500e icon 2 months ahead of schedule so im not very prepared will the car come with a charging cable do i need a home ev charger or can it be plugged into an ordinary house socket if i do get an ev charger which one should i get there are so many out there tia camille
2023-08-17,SpeakEV,hi there i have ordered a fiat 500e icon on lease which will come in march i had ordered a 208 gt premium petrol but they have had a recall on the car and delivery will be god knows when and i need to make sure i had a car for when my current lease went back end of march to startmid april so i took the plunge as i wanted a ev i do not drive far tbh and this car was really the only one i could afford at the time i ordered it about a week agoother cars have prices raised alot and alot of cars and petrol ones have 8 weeks delivery some i have seen 6 months wait lol anyway for the time being i will not be getting a home charger as the prices of them are ridiculous i am sure they are charging way way over the odds for them 7001200 there have been a few for 549 etc but these are with the grant off which if i tried to order now would be too late anyway as they do not have slots for instillation before the grant ends and so id be paying full priceliterally can not afford it plus i am pretty sure we would need something upgraded with the main fuse too i plan on using public chargers there is a pub near me that has a free 50kw charger long as you are in the pub me and my friend meet once a month for fee and usually in there atleast 3 hrs talking so it should give decent range and there are others locally that you pay for but still cheaper than petrol i do not mind using a granny cable at home for inbetween tbh anyway the question is what cables come with the car as in the description it just stays charging cable mode 3 would that be the 7kw one where you can either plug it into a home wall charger and public chargers that are 7kw do you get the granny cable at all as i do not fancy paying 170 for one many thanks
2022-10-22,SpeakEV,i had my 2015 fiat 500e shipped from ca a few years ago still going strong but would like to have some things looked at are there any places in the seattleeastside area that can service a 500e thanks
2023-09-12,SpeakEV,the latest fiat 500e la prima designio by kahn specification front bumper vented valance rear bumper vented valance rear upper roof wing front vented grill matt black side skirts bonnet mask led light delete 18 kahn type 52 forged light wheels 18 performance tyre package kahn lowered sports suspension system tuv approved
2023-09-26,SpeakEV,is there a way to delete not just unselect a charging schedule on the car ie return to empty before i got the wallbox i scheduled a care charge just as part of getting to know the car i never used it it remained unselected im now having big charging issues hard to tell if the problem is the car or the wallbox or if they are confusing each other so wondered if i could completely delete the car schedule to minimise confusion id also be interested in any other feedback about the wallbox fiat 500e i think the fundamental problem is more likely to be to do with the wallbox thank you
2023-08-18,SpeakEV,hello everyone i have bought a fiat 500e icon 2022 it is also my first car i have a few questions how easy is it for a fiat 500e to get stolen what things can i do so it makes it harder for anyone to steal do i need a faraday pouch secondly if anyone has a babychild have you put a baby seat in the back and how has it been for you im thinking to have a baby in a few years and my hp will last for 3 years so there will be some overlap before i get a diff car so may need to put a baby seat in i also dont have a drop kerb and with some manoeuvring i can use my neighbours drop kerbhow badly would the car suspension get damaged if i drive off without using my neighbours drop kerb do you have any other general advice for first time car owners thank you in advance
2022-02-03,SpeakEV,hi all i was wondering if anyone had any advice i collect my fiat 500e this weekend it comes with a free wall charger the easywallbox be engie however i am struggling to get anyone to install it it can be plugged into a standard mains outlet for 23kw or installed properly for 7kw it has a dpm sensor for monitoring the load on the main fuse ive got a call with western power i am in south wales to takes us off a loop and upgrade our fuse to 80a from 63a and so far i have had two installers say they cannot help as they are not accredited for that charger i contacted fiat and they said to contact engie engie said they do not keep a list of installer and instead just sent me the installation manual for installers all the other installers ive contacted have either not responded to their contact me form or dont answer the phone has anyone had any luck getting this charger installed i appreciate that most people would just get a podpoint or something installed instead of the fiat one if they had to buy one
2021-11-16,SpeakEV,dont see many of these outside la if i hadnt just leased a new eup for pennies id be all over this for 10k and change should think its a hoot to drive httpswwwhighpeakautosltdcouk017fiat500e24kwhstockport202110128390044
2024-02-24,SpeakEV,do any other 500e drivers have issues with the intelligent speed assist system my la prima seems to identify signs correctly but after a period of not seeing a sign it checks the sat nav and it appears to convert the sat nav speed from km to miles so a 30 sat nav signal displays as 20 mph 60 as 40mph etc lovely car but this software bug is very annoying and fiat does not seem to have any answers
2023-07-14,SpeakEV,we spent 12 days out of 143 during the fiat 500e ev road trip in orkney watch the full length video to see the best places we visited on the beautiful islands my verdict on the charging situation on the orkney islands mediocre especially when you compare it to the situation in shetland where charging is much easier and more rapid chargers are well distributed in the orkney islands however you are better off taking the electric vehicle only on the orkney mainland stromness kirkwall finstown st margarets hope and dounby have some rapid chargers and they work and a couple of 22kw chargers on the mainland however the other islands have no chargers at all not even a slow charger saying that we took a day trip to westray with a fully charged battery which was not a problem thanks to the short distances on this island i suppose you can do the same with the isle of hoy after all we never had charging problems never range anxiety never an almost empty battery so on the mainland it wasnt too bad if you get yourself organised and dont wait until the last minutepercentage to recharge follow our road trip live we travel until the end of september 2023 ev photo tour 2023 findpenguins 10000 miles 10 countries 192 photo spots all electrical with the fiat 500e read the journal for ev road trip tips photo spots and vegan food experiences findpenguinscom
