Timestamp,Username,VideoID,Comment,Date
2024-05-04T20:35:00Z,@miscetc-tm2yt,0kDbvxpjLZs,"9 seconds, for an electric car that's especially pathetic.",2024-05-04T20:35:00Z
2024-02-16T11:44:20Z,@LucuYT,0kDbvxpjLZs,Good honest review thanks.   Like the car  I’m in Australia can’t wait to test drive one.  😅,2024-02-16T11:44:20Z
2024-02-13T22:37:50Z,@Lewis_mp3,0kDbvxpjLZs,This women is awfully irritating,2024-02-13T22:37:50Z
2024-02-13T22:21:00Z,@mitchib1440,0kDbvxpjLZs,This presenter is absolutely amazing! More of her please!,2024-02-13T22:21:00Z
2024-01-06T11:27:45Z,@IMAN7THRYLOS,0kDbvxpjLZs,This is a genius car. This is a car that you don't buy but you lease to your company.,2024-01-06T11:27:45Z
2023-10-21T11:33:22Z,@musiceditor7083,0kDbvxpjLZs,"Got a Twinair Mito - done 60k in it & it's great. 

Thing that puts me off this, is that Italians ain't the best when it comes to automotive electrics, so I'd be tentative about trusting them to build a electric car that's reliable in the long term. Especially when it's their 1st stab at it... Stellantis has already has already issued recalls for a bunch of its EVs, so as cool as this is - I don't feel like being a guinea pig.

Just saying 🤷🏼‍♂",2023-10-21T11:33:22Z
2023-09-16T04:33:48Z,@cmmartti,0kDbvxpjLZs,"No spare wheel is a dealbreaker. I love that gap between the low centre console and the dashboard though—it looks like it would be super easy to scoot from one side of the car to the other, which is extremely practical.",2023-09-16T04:33:47Z
2023-08-17T22:03:40Z,@astra-rb6sz,0kDbvxpjLZs,I love this car,2023-08-17T22:03:40Z
2023-06-01T06:25:30Z,@BF4pawntard,0kDbvxpjLZs,I absolutely hate those big entertainment screens in cars . They are not necessary,2023-06-01T06:25:30Z
2023-04-28T17:32:15Z,@o2barebel,0kDbvxpjLZs,Why are you driving in the middle of the road?,2023-04-28T17:32:15Z
2023-07-18T11:43:09Z,@tpv59,0kDbvxpjLZs,"Yes, I noticed that.",2023-07-18T11:43:09Z
2023-04-06T06:18:43Z,@TB-up4xi,0kDbvxpjLZs,7:12 strangely aroused at this point...anyway.....concentrate....tax returns....mother Teresa....that's better.... back to the review.,2023-04-06T06:21:31Z
2022-12-02T20:51:14Z,@seasidegalaxystreet,0kDbvxpjLZs,Wait until Abarth works on it.,2022-12-02T20:51:14Z
2022-11-05T18:55:42Z,@piusdavidw...,0kDbvxpjLZs,............ ..,2022-11-05T18:55:42Z
2022-09-05T23:43:07Z,@jollygreen4662,0kDbvxpjLZs,Selling in usa?,2022-09-05T23:43:07Z
2022-09-03T23:50:32Z,@Hedgehog_Inklings,0kDbvxpjLZs,Why not compare this to the 500e that was produced between 2013 to 2019?,2022-09-03T23:50:32Z
2022-09-03T14:40:15Z,@richardjohnson5529,0kDbvxpjLZs,i have not got apple car play in my 500 icon,2022-09-03T14:40:15Z
2022-09-03T14:39:00Z,@richardjohnson5529,0kDbvxpjLZs,"it will not do 199 miles i own one and have had it for 16 months, i have driven it like a baby carrage and the most i can get is 160 miles",2022-09-03T14:39:00Z
2022-08-28T09:53:27Z,@sasham4073,0kDbvxpjLZs,"imagine if someone could make a cheap and simple ev that only costs £2000.. oh wait, that is exactly what some factories are making, because the whole point of ev is simplicity and they are therefore cheap! but buying it here, while it was possible in the past, the cost was inflated to nearly 10k, and the law now prevents anything being sold unless it means pricing out most of population",2022-08-28T09:53:27Z
2022-08-28T06:18:00Z,@MissMarquise,0kDbvxpjLZs,What option is this matte grey... i can only see metallic or pastel finishes on the website,2022-08-28T06:18:00Z
2022-07-31T21:12:25Z,@FatherMartin,0kDbvxpjLZs,"Such an impressive script, and engaging delivery. Thank you! Those sardonic touches made me wonder if you grew up watching Daria!🙂",2022-07-31T21:12:25Z
2022-07-18T04:41:42Z,@when_life_gives_you_limes,0kDbvxpjLZs,What a great reviewer! Love her wit & humour!,2022-07-18T04:41:42Z
2022-07-09T10:36:23Z,@gremlin60,0kDbvxpjLZs,the butten to open the door . is it electric?   can you open it with no power?,2022-07-09T10:36:23Z
2024-02-08T22:25:55Z,@astra-rb6sz,0kDbvxpjLZs,Yes there is a hidden handle as well,2024-02-08T22:25:55Z
2022-07-04T07:41:46Z,@takuan650,0kDbvxpjLZs,"Nice car, but not with an acre of cheap piano black plastic to stare at. Makes my skin crawl. Nope!",2022-07-04T07:42:29Z
2022-06-23T17:16:34Z,@LOOKEYHEARSAY,0kDbvxpjLZs,"no thanks, keep the electric version, only takes away from the rear hatch non-space. and yes I own a 500 with no rear seating space, I use the area for extra cargo room. no way is electricity viable here in the USA, not enough charging stations and retrofitting my home would be an insanely cost issue. thanks for the fun video",2022-06-23T17:16:34Z
2022-06-21T02:49:47Z,@happylooksr9780,0kDbvxpjLZs,"Very best car, I love",2022-06-21T02:49:47Z
2022-06-20T10:29:57Z,@aniketmotghare9450,0kDbvxpjLZs,Plz fiat launch this car in india,2022-06-20T10:29:57Z
2022-06-18T10:18:10Z,@andersemanuel,0kDbvxpjLZs,Just passing by locking for a review. What is this theater!? Are you talking to a bunch of 5 year olds? I get Faulty Towers vibes but without the irony.. Fire the script maker please.,2022-06-18T10:18:10Z
2022-06-06T17:22:20Z,@jbsbaby2010,0kDbvxpjLZs,I love the fiat 3+1 but it's not available In the US 🙁,2022-06-06T17:22:20Z
2022-05-31T21:42:51Z,@friederich66,0kDbvxpjLZs,"the rear 3red door  is not availabe in the UK for safety reasons. as you british people love to drive on the  wrong side of the road, the passengers would leave the car on the traffic side. and you have the so-called left-foot-problem (where to rest your unemployed left foot).. sorry folks, same reason 🙂 and for the boot: you are talking nonsense there. it is enough space for four small, 3 midsize, two normal oe 1 big suitcase three small suittcasres: 2 of them lying flat and piled, the third upright on the side. sorry again. in a well pepared check  yo would use some  different sized suitcases to combine
cable ""problem: you  can buy a frunk from an austrien firm, for 210 euros  or you leave the DC cable at home because you will hardly eveer need it: the charging stations work with their own cables, so you just plug it in. the granny  cable is for home charging on a wallsocket (schuko in german).",2022-05-31T21:52:41Z
2022-05-31T14:10:26Z,@didierpuzenat7280,0kDbvxpjLZs,"Too bad the charge port is on the bad side to access Tesla's superchargers. It would have been nice automakers to ""chose a side"", not repeating the issue ICE cars have.",2022-05-31T14:10:26Z
2022-05-30T18:01:23Z,@littlebigjohn69,0kDbvxpjLZs,"i live in north america and their not coming here what a shame because ive got a 2013 and i love it , and the electric one looks great.",2022-05-30T18:01:23Z
